00:03:12.451321 DCon06   Saving settings file "/home/est/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:03:12.452880 DCon06   Finished saving settings file "/home/est/.config/VirtualBox/VirtualBox.xml"
00:04:32.593316 DCon05   Platform architecture set to 'x86'
00:04:32.617767 DCon10   WARNING [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={d5dcece0-b202-4416-a138-03502784cc07} aComponent={HostWrap} aText={Could not load the Host USB Proxy service: VERR_NOT_FOUND}, preserve=true aResultDetail=0
00:04:32.617960 DCon10   Saving settings file "/home/est/VirtualBox VMs/test3/test3.vbox" with version "1.19-linux"
00:04:32.619492 DCon10   Finished saving settings file "/home/est/VirtualBox VMs/test3/test3.vbox"
00:04:32.658300 DCon17   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:04:32.658853 DCon17   Failed to open "/dev/vboxdrvu", errno=2, rc=VERR_VM_DRIVER_NOT_INSTALLED
00:04:32.660349 DCon17   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is PoweredOff)}, preserve=false aResultDetail=0
00:04:32.665223 DCon17   WARNING [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={d5dcece0-b202-4416-a138-03502784cc07} aComponent={HostWrap} aText={Could not load the Host USB Proxy service: VERR_NOT_FOUND}, preserve=true aResultDetail=0
00:04:32.665689 DCon17   WARNING [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={d5dcece0-b202-4416-a138-03502784cc07} aComponent={HostWrap} aText={Could not load the Host USB Proxy service: VERR_NOT_FOUND}, preserve=true aResultDetail=0
00:04:32.947014 DCon17   Saving settings file "/home/est/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:04:32.948517 DCon17   Finished saving settings file "/home/est/.config/VirtualBox/VirtualBox.xml"
